campaign_id,title,description,brand_name,category,platform,budget,duration_days,target_age_group,target_gender,min_followers,min_engagement,deliverables,status,brand_reputation,created_at
IN_CMP_00064,Sugar Cosmetics - Education & Skills Campaign,Promote Sugar Cosmetics products to 25-34 audience,Sugar Cosmetics,Education & Skills,LinkedIn,17137.06,45,25-34,All,20535,3.7,Post,active,3.68,2025-07-06T00:00:00
IN_CMP_00065,boAt Lifestyle - Technology & Gadgets Campaign,Promote boAt Lifestyle products to 25-34 audience,boAt Lifestyle,Technology & Gadgets,LinkedIn,81021.66,30,25-34,Female,44720,5.6,"Post,Video,Live Session,Reel",completed,4.29,2025-05-30T00:00:00
IN_CMP_00066,Amazon India - Sports & Cricket Campaign,Promote Amazon India products to 18-34 audience,Amazon India,Sports & Cricket,Facebook,7224.51,7,18-34,Female,10657,3.7,Live Session,active,4.31,2025-08-11T00:00:00
IN_CMP_00067,PhonePe - Sports & Cricket Campaign,Promote PhonePe products to 25-34 audience,PhonePe,Sports & Cricket,YouTube,5342.86,45,25-34,Female,20669,3.4,Review,completed,4.74,2025-09-09T00:00:00
IN_CMP_00068,Flipkart - Food & Cooking Campaign,Promote Flipkart products to 25-34 audience,Flipkart,Food & Cooking,Instagram,5785.2,14,25-34,Male,9977,3.0,"Video,Live Session",draft,3.86,2025-10-20T00:00:00
IN_CMP_00069,Myntra - Entertainment & Comedy Campaign,Promote Myntra products to 18-24 audience,Myntra,Entertainment & Comedy,Twitter,16796.68,45,18-24,All,24067,4.1,"Video,Post,Live Session",completed,4.37,2025-06-11T00:00:00
IN_CMP_00070,Reliance - News & Current Affairs Campaign,Promote Reliance products to 25-34 audience,Reliance,News & Current Affairs,Twitter,23742.25,7,25-34,All,12987,2.3,"Post,Review",completed,3.69,2025-05-20T00:00:00
IN_CMP_00071,boAt Lifestyle - Regional Content Campaign,Promote boAt Lifestyle products to 18-34 audience,boAt Lifestyle,Regional Content,YouTube,7482.47,14,18-34,Female,6969,3.4,"Video,Post",draft,2.75,2025-08-07T00:00:00
IN_CMP_00072,Byju's - Technology & Gadgets Campaign,Promote Byju's products to 35-44 audience,Byju's,Technology & Gadgets,YouTube,12446.26,21,35-44,All,10083,3.7,"Post,Story,Live Session,Reel",draft,3.6,2025-08-26T00:00:00
IN_CMP_00073,Xiaomi - Food & Cooking Campaign,Promote Xiaomi products to 18-24 audience,Xiaomi,Food & Cooking,YouTube,46492.71,14,18-24,Female,77927,4.3,"Review,Story",active,2.52,2025-06-27T00:00:00
IN_CMP_00074,Byju's - Health & Fitness Campaign,Promote Byju's products to 25-34 audience,Byju's,Health & Fitness,LinkedIn,67762.54,14,25-34,All,77280,3.5,"Video,Review,Story",completed,4.49,2025-06-08T00:00:00
IN_CMP_00075,Asian Paints - Music & Dance Campaign,Promote Asian Paints products to 18-24 audience,Asian Paints,Music & Dance,LinkedIn,19552.43,14,18-24,All,7305,4.1,"Post,Live Session",active,3.16,2025-08-28T00:00:00
IN_CMP_00076,Reliance - Finance & Investment Campaign,Promote Reliance products to 35-44 audience,Reliance,Finance & Investment,Facebook,44811.58,7,35-44,All,31969,4.4,"Reel,Story",completed,2.99,2025-09-21T00:00:00
IN_CMP_00077,Realme - Fashion & Lifestyle Campaign,Promote Realme products to 18-34 audience,Realme,Fashion & Lifestyle,Facebook,9014.55,30,18-34,Female,14382,2.7,"Live Session,Video",active,4.42,2025-06-23T00:00:00
IN_CMP_00078,Noise - Food & Cooking Campaign,Promote Noise products to 35-44 audience,Noise,Food & Cooking,Instagram,12399.61,30,35-44,All,7880,2.5,"Review,Reel",draft,3.85,2025-09-01T00:00:00
IN_CMP_00079,Myntra - Entertainment & Comedy Campaign,Promote Myntra products to 18-24 audience,Myntra,Entertainment & Comedy,YouTube,29250.2,7,18-24,All,70494,5.7,Video,active,4.71,2025-10-17T00:00:00
IN_CMP_00080,boAt Lifestyle - Health & Fitness Campaign,Promote boAt Lifestyle products to 35-44 audience,boAt Lifestyle,Health & Fitness,Twitter,8967.88,7,35-44,All,5615,2.3,Video,completed,3.83,2025-06-26T00:00:00
IN_CMP_00081,Unacademy - Fashion & Lifestyle Campaign,Promote Unacademy products to 18-34 audience,Unacademy,Fashion & Lifestyle,Twitter,10239.85,45,18-34,Female,8307,2.6,"Story,Post",active,4.64,2025-10-06T00:00:00
IN_CMP_00082,Dream11 - Technology & Gadgets Campaign,Promote Dream11 products to 18-24 audience,Dream11,Technology & Gadgets,Instagram,32289.26,21,18-24,All,94365,4.5,Story,completed,4.2,2025-10-11T00:00:00
IN_CMP_00083,Nykaa - Education & Skills Campaign,Promote Nykaa products to 18-34 audience,Nykaa,Education & Skills,LinkedIn,25347.2,14,18-34,Female,29286,4.9,"Reel,Live Session,Video",active,4.74,2025-07-22T00:00:00
IN_CMP_00084,OnePlus - Music & Dance Campaign,Promote OnePlus products to 35-44 audience,OnePlus,Music & Dance,Instagram,14007.63,7,35-44,All,13627,3.3,Live Session,completed,3.87,2025-08-27T00:00:00
IN_CMP_00085,OnePlus - Technology & Gadgets Campaign,Promote OnePlus products to 18-24 audience,OnePlus,Technology & Gadgets,Facebook,14444.17,21,18-24,Female,13068,4.9,"Review,Live Session",completed,3.32,2025-07-23T00:00:00
IN_CMP_00086,Nestle India - Beauty & Makeup Campaign,Promote Nestle India products to 18-24 audience,Nestle India,Beauty & Makeup,YouTube,50238.9,14,18-24,All,53423,3.7,"Review,Reel,Live Session",active,3.57,2025-07-10T00:00:00
IN_CMP_00087,Sugar Cosmetics - Food & Cooking Campaign,Promote Sugar Cosmetics products to 18-34 audience,Sugar Cosmetics,Food & Cooking,Facebook,107144.36,45,18-34,Female,377449,3.9,Post,active,4.17,2025-11-07T00:00:00
IN_CMP_00088,HUL - Education & Skills Campaign,Promote HUL products to 18-34 audience,HUL,Education & Skills,Instagram,5476.22,21,18-34,All,11882,3.4,"Post,Reel",draft,3.8,2025-08-22T00:00:00
IN_CMP_00089,PhonePe - Beauty & Makeup Campaign,Promote PhonePe products to 18-24 audience,PhonePe,Beauty & Makeup,YouTube,53406.65,7,18-24,All,39416,4.9,"Video,Review,Post",completed,4.16,2025-06-29T00:00:00
IN_CMP_00090,Noise - News & Current Affairs Campaign,Promote Noise products to 18-24 audience,Noise,News & Current Affairs,LinkedIn,24691.91,30,18-24,All,15087,5.0,Live Session,completed,3.06,2025-07-29T00:00:00
IN_CMP_00091,Paytm - Fashion & Lifestyle Campaign,Promote Paytm products to 25-34 audience,Paytm,Fashion & Lifestyle,YouTube,21862.35,60,25-34,All,8827,4.0,"Post,Live Session,Story",completed,3.63,2025-06-12T00:00:00
IN_CMP_00092,Nestle India - Fashion & Lifestyle Campaign,Promote Nestle India products to 25-34 audience,Nestle India,Fashion & Lifestyle,LinkedIn,9571.81,7,25-34,Female,8442,2.4,"Story,Post,Live Session",active,3.08,2025-07-29T00:00:00
IN_CMP_00093,Nestle India - News & Current Affairs Campaign,Promote Nestle India products to 35-44 audience,Nestle India,News & Current Affairs,Instagram,6223.07,14,35-44,Female,14414,4.6,"Story,Review,Reel",draft,3.46,2025-05-18T00:00:00
IN_CMP_00094,Myntra - Education & Skills Campaign,Promote Myntra products to 35-44 audience,Myntra,Education & Skills,Facebook,38890.77,14,35-44,All,38031,4.3,"Post,Story",draft,3.92,2025-10-08T00:00:00
IN_CMP_00095,Reliance - Finance & Investment Campaign,Promote Reliance products to 35-44 audience,Reliance,Finance & Investment,YouTube,18424.74,14,35-44,All,19234,2.7,"Video,Post",active,4.11,2025-09-06T00:00:00
IN_CMP_00096,Amazon India - Education & Skills Campaign,Promote Amazon India products to 18-34 audience,Amazon India,Education & Skills,Instagram,2604364.8,14,18-34,All,383667,3.5,Live Session,active,2.97,2025-10-24T00:00:00
IN_CMP_00097,Reliance - Fashion & Lifestyle Campaign,Promote Reliance products to 18-24 audience,Reliance,Fashion & Lifestyle,Twitter,47638.69,14,18-24,All,27923,4.2,"Live Session,Story",completed,2.57,2025-06-01T00:00:00
IN_CMP_00098,CRED - Health & Fitness Campaign,Promote CRED products to 35-44 audience,CRED,Health & Fitness,Facebook,56151.38,30,35-44,Female,69246,4.5,"Story,Review",draft,2.49,2025-08-04T00:00:00
IN_CMP_00099,PhonePe - Regional Content Campaign,Promote PhonePe products to 18-24 audience,PhonePe,Regional Content,Twitter,65902.19,7,18-24,All,41884,3.4,"Reel,Review,Live Session",completed,3.23,2025-09-02T00:00:00
IN_CMP_00100,Reliance - Finance & Investment Campaign,Promote Reliance products to 35-44 audience,Reliance,Finance & Investment,YouTube,27303.25,14,35-44,All,29161,3.4,"Story,Video,Live Session,Review",active,3.17,2025-09-28T00:00:00
IN_CMP_00101,HUL - Technology & Gadgets Campaign,Promote HUL products to 18-34 audience,HUL,Technology & Gadgets,Instagram,25554.5,14,18-34,Female,65966,4.8,"Video,Reel",draft,4.46,2025-08-04T00:00:00
IN_CMP_00102,Byju's - Beauty & Makeup Campaign,Promote Byju's products to 25-34 audience,Byju's,Beauty & Makeup,Twitter,6035.71,30,25-34,All,6757,2.2,Reel,draft,2.56,2025-07-07T00:00:00
IN_CMP_00103,Amazon India - Devotional & Spirituality Campaign,Promote Amazon India products to 18-34 audience,Amazon India,Devotional & Spirituality,LinkedIn,6853.23,30,18-34,All,15007,4.8,"Review,Post,Reel,Story",completed,3.96,2025-06-08T00:00:00
IN_CMP_00104,Unacademy - Beauty & Makeup Campaign,Promote Unacademy products to 35-44 audience,Unacademy,Beauty & Makeup,Twitter,10648.83,21,35-44,All,11928,3.9,Video,active,4.8,2025-09-21T00:00:00
IN_CMP_00105,Boat - Regional Content Campaign,Promote Boat products to 35-44 audience,Boat,Regional Content,Facebook,13262.65,14,35-44,Male,14200,2.0,"Reel,Live Session,Video,Story",active,3.93,2025-08-26T00:00:00
IN_CMP_00106,Byju's - Travel & Tourism Campaign,Promote Byju's products to 25-34 audience,Byju's,Travel & Tourism,Instagram,20149.24,21,25-34,Male,18538,4.6,"Live Session,Story,Post",completed,2.63,2025-08-14T00:00:00
IN_CMP_00107,Mamaearth - Technology & Gadgets Campaign,Promote Mamaearth products to 25-34 audience,Mamaearth,Technology & Gadgets,LinkedIn,136936.15,21,25-34,Female,934495,3.9,Live Session,completed,4.33,2025-08-21T00:00:00
IN_CMP_00108,CRED - Travel & Tourism Campaign,Promote CRED products to 18-34 audience,CRED,Travel & Tourism,Instagram,85835.61,30,18-34,All,50918,3.1,"Live Session,Story",active,4.55,2025-10-12T00:00:00
IN_CMP_00109,CRED - News & Current Affairs Campaign,Promote CRED products to 18-24 audience,CRED,News & Current Affairs,LinkedIn,30326.52,7,18-24,All,86467,5.5,"Video,Post",active,4.8,2025-06-05T00:00:00
IN_CMP_00110,PhonePe - Regional Content Campaign,Promote PhonePe products to 25-34 audience,PhonePe,Regional Content,Instagram,43876.03,7,25-34,All,40195,5.9,"Story,Live Session",completed,1.99,2025-09-10T00:00:00
IN_CMP_00111,Noise - Gaming Campaign,Promote Noise products to 18-34 audience,Noise,Gaming,Twitter,29697.38,21,18-34,All,99794,3.4,Live Session,completed,4.37,2025-06-09T00:00:00
IN_CMP_00112,Boat - Food & Cooking Campaign,Promote Boat products to 35-44 audience,Boat,Food & Cooking,Twitter,891920.28,14,35-44,Female,660383,3.4,"Video,Post,Story,Live Session",draft,3.25,2025-11-04T00:00:00
IN_CMP_00113,Byju's - Health & Fitness Campaign,Promote Byju's products to 18-24 audience,Byju's,Health & Fitness,LinkedIn,8694.93,7,18-24,Female,15615,3.1,"Reel,Post,Review",active,2.37,2025-11-03T00:00:00
IN_CMP_00114,Xiaomi - Devotional & Spirituality Campaign,Promote Xiaomi products to 25-34 audience,Xiaomi,Devotional & Spirituality,YouTube,26510.62,30,25-34,All,74855,3.6,"Reel,Post,Review",active,4.2,2025-07-19T00:00:00
IN_CMP_00115,Boat - Travel & Tourism Campaign,Promote Boat products to 18-24 audience,Boat,Travel & Tourism,Facebook,42083.73,14,18-24,All,61884,3.3,"Story,Live Session",draft,4.05,2025-10-07T00:00:00
IN_CMP_00116,CRED - Technology & Gadgets Campaign,Promote CRED products to 18-24 audience,CRED,Technology & Gadgets,Twitter,81055.1,14,18-24,All,86153,3.2,"Review,Live Session",draft,3.36,2025-09-16T00:00:00
IN_CMP_00117,boAt Lifestyle - Devotional & Spirituality Campaign,Promote boAt Lifestyle products to 18-24 audience,boAt Lifestyle,Devotional & Spirituality,YouTube,27821.39,7,18-24,All,52661,3.5,"Review,Reel,Live Session",active,4.81,2025-11-07T00:00:00
IN_CMP_00118,Myntra - Beauty & Makeup Campaign,Promote Myntra products to 35-44 audience,Myntra,Beauty & Makeup,YouTube,35530.2,14,35-44,All,39737,5.2,"Video,Story,Post,Reel",active,4.69,2025-07-10T00:00:00
IN_CMP_00119,Paytm - Gaming Campaign,Promote Paytm products to 18-34 audience,Paytm,Gaming,Instagram,53316.02,14,18-34,All,80387,4.5,"Video,Live Session,Story",draft,4.53,2025-06-07T00:00:00
IN_CMP_00120,Wow Skin Science - Health & Fitness Campaign,Promote Wow Skin Science products to 18-24 audience,Wow Skin Science,Health & Fitness,Twitter,13398.97,7,18-24,All,22245,4.2,"Post,Video,Review",draft,4.2,2025-08-01T00:00:00
IN_CMP_00121,Byju's - Music & Dance Campaign,Promote Byju's products to 25-34 audience,Byju's,Music & Dance,Facebook,5826.93,7,25-34,All,11485,2.1,"Reel,Video",completed,3.83,2025-10-24T00:00:00
